"book_id","title","author","published_year","price","stock","quantity","order_date","total_amount"
18,"Adaptive 4thgeneration concept","Hector Palmer",2021,39.47,32,10,"2024-09-30",394.70
31,"Implemented encompassing conglomeration","Melissa Taylor",2010,21.23,44,10,"2022-12-17",212.30
32,"Synergistic dedicated concept","Lisa Bailey",2021,21.56,100,10,"2024-05-25",215.60
33,"Team-oriented empowering synergy","Sandra Williams",2023,35.06,49,10,"2024-04-05",350.60
36,"Open-source needs-based secured line","Jacob French",1949,34.51,86,10,"2023-01-11",345.10
65,"Total explicit open architecture","Zachary Williams",1982,22.70,7,10,"2023-01-10",227.00
72,"Networked contextually-based throughput","Andrea Eaton",1959,46.54,65,10,"2023-10-14",465.40
73,"Realigned multi-tasking installation","Patrick Contreras",1933,21.23,39,10,"2023-10-01",212.30
73,"Realigned multi-tasking installation","Patrick Contreras",1933,21.23,39,10,"2024-08-22",212.30
77,"Cross-platform asynchronous encryption","Michelle Edwards",1935,44.28,88,10,"2023-05-06",442.80
78,"Synergized mobile architecture","Gregory Perez",1988,13.07,86,10,"2023-02-17",130.70
83,"Sharable regional product","Michael Walker",2022,8.94,92,10,"2023-10-20",89.40
88,"Robust tangible hardware","Paul Miles",1999,40.22,32,10,"2023-01-06",402.20
99,"Optimized heuristic challenge","Tracy Hendrix",1962,46.93,26,10,"2024-01-24",469.30
108,"Future-proofed fault-tolerant encoding","Larry Andrews",1918,25.38,28,10,"2024-04-30",253.80
120,"Integrated secondary access","Sheena Harris",1984,48.03,93,10,"2024-04-28",480.30
122,"Profound leadingedge capability","Mary French",1992,30.75,17,10,"2024-05-17",307.50
132,"Multi-lateral methodical implementation","Lauren Moore",1907,20.46,53,10,"2023-04-08",204.60
135,"Customizable bi-directional focus group","Kristin Farley",2001,15.13,83,10,"2024-01-01",151.30
142,"Multi-tiered responsive parallelism","Amanda Wilson",1940,48.96,11,10,"2024-03-07",489.60
142,"Multi-tiered responsive parallelism","Amanda Wilson",1940,48.96,11,10,"2024-10-13",489.60
147,"Innovative empowering concept","Brad Vasquez",1964,45.20,74,10,"2024-03-17",452.00
157,"Advanced didactic time-frame","Thomas Trujillo",2005,19.17,57,10,"2023-09-19",191.70
160,"Digitized cohesive emulation","Jared Cortez",1924,34.48,65,10,"2024-07-19",344.80
175,"Networked disintermediate projection","John Bradley",1910,32.85,39,10,"2023-02-16",328.50
191,"Multi-layered 24hour infrastructure","Casey Moreno",1911,42.19,8,10,"2024-10-02",421.90
202,"Balanced optimal open architecture","Lindsey Johnson",1964,12.26,32,10,"2023-11-23",122.60
208,"Synergized intangible methodology","Ellen Doyle",1917,25.00,83,10,"2023-04-23",250.00
209,"Distributed modular capability","Nicole Berger",1979,48.67,63,10,"2024-01-17",486.70
221,"Re-engineered solution-oriented extranet","Robert Castaneda",1988,24.81,2,10,"2023-07-15",248.10
245,"Automated client-driven open architecture","Jose Brown",2000,16.06,18,10,"2024-05-24",160.60
250,"Devolved incremental intranet","Jessica Lopez",1918,12.65,13,10,"2023-05-25",126.50
272,"Intuitive 4thgeneration intranet","Daniel Gillespie",1959,5.16,79,10,"2023-04-25",51.60
273,"Devolved zero administration process improvement","Emily James",1929,12.43,23,10,"2023-07-22",124.30
298,"Assimilated composite archive","Mark Gibson",1957,46.66,62,10,"2023-05-03",466.60
301,"Polarized high-level installation","John Davidson",1975,21.66,77,10,"2023-01-23",216.60
307,"Expanded local infrastructure","Valerie Moore",1914,14.43,7,10,"2023-08-04",144.30
319,"Distributed disintermediate groupware","Michael Mckenzie",1964,42.61,50,10,"2023-03-21",426.10
350,"Exclusive 24hour groupware","Brian Baker",2008,31.67,49,10,"2024-08-02",316.70
352,"Intuitive intermediate paradigm","Scott Bowman MD",1927,6.01,97,10,"2023-05-05",60.10
353,"Public-key intangible frame","Katherine Fry",1984,46.97,41,10,"2023-07-07",469.70
397,"Object-based secondary emulation","Angela Richard",1969,28.15,50,10,"2023-01-12",281.50
398,"Programmable context-sensitive forecast","Evelyn Cox",1998,33.41,50,10,"2024-11-17",334.10
415,"Enhanced next generation standardization","Anthony Nguyen",1976,29.51,18,10,"2024-02-04",295.10
422,"Grass-roots systematic moderator","Joyce Patton",1919,45.91,39,10,"2024-08-17",459.10
449,"Universal homogeneous adapter","Gina Lopez",1966,40.17,1,10,"2024-01-03",401.70
466,"Multi-channeled mission-critical initiative","Michelle Hanson",2015,37.17,93,10,"2024-09-02",371.70
485,"Decentralized content-based access","Nancy Taylor",1900,23.16,57,10,"2023-02-19",231.60
488,"Optimized attitude-oriented synergy","Cory Ross",1985,49.15,64,10,"2023-05-17",491.50
491,"Pre-emptive intangible adapter","Michael Hill",1910,14.87,2,10,"2024-03-21",148.70
492,"Implemented next generation open architecture","Marcus Spencer",1984,44.07,76,10,"2023-05-30",440.70
